Citation_PuSH_style___________________________________________,Advisor,JLYear Imp Fact,Proposal,Instr,Non-Instr,DOI/URL
"F. Gao, J. M. Sheng, W. Ren, Q. Zhang, X. Luo, J. Qi, M. Cong, B. Li, L. S. Wu, Z. Zhang, ""Incommensurate spin density wave and magnetocaloric effect in the metallic triangular lattice  Ho Al 2 Ge 2."" Physical Review B 106, 134426 (October 2022).",,4.036,22284.1,BL-11A,,https://doi.org/10.1103/PhysRevB.106.134426
"S. A. Skorobogatov, K. A. Shaykhutdinov, D. A. Balaev, M. S. Pavlovskii, A. A. Krasikov, K. Y. Terentjev, ""Spin dynamics and exchange interaction in orthoferrite  TbFeO 3  with non-Kramers rare-earth ion."" Physical Review B 106, 184404 (November 2022).",,4.036,,"BL-18, BL-5",,https://doi.org/10.1103/PhysRevB.106.184404
"F. Ye, M. Matsuda, Z. Morgan, T. E. Sherline, Y. F. Ni, H. D. Zhao, G. Cao, ""Magnetic structure and spin fluctuations in the colossal magnetoresistance ferrimagnet  Mn 3 Si 2 Te 6."" Physical Review B 106, L180402 (November 2022).",,4.036,"27898.1,268229.1","BL-9, HB-1",,https://doi.org/10.1103/PhysRevB.106.L180402
"S. Shukla, D. A. Myles, M. J. Cuneo, ""Mapping periplasmic binding protein oligosaccharide recognition with neutron crystallography."" Scientific Reports 12, 17647 (October 2022).",,3.998,,CG-4D,Center,https://doi.org/10.1038/s41598-022-20542-8
"M. Mirzamani, A. Dawn, C. J. Garvey, L. He, H. Koerner, H. Kumari, ""Structural Insights into Self-Assembly of a Slow-Evolving and Mechanically Robust Supramolecular Gel via Time-resolved SANS."" Physical Chemistry Chemical Physics,  (November 2022).",,3.676,,CG-2,,https://doi.org/10.1039/D2CP01826H
"C. A. Corlett, M. Frontzek, N. Obradovic, J. L. Watts, W. G. Fahrenholtz, ""Mechanical Activation and Cation Site Disorder in MgAl2O4."" Materials 15(18), 6422 (2022).",,3.623,,BL-11A,,https://doi.org/10.3390/ma15186422
"N. Peterson, C. M. Fancher, M. Frontzek, J. R. Bunn, A. Payzant, K. An, S. R. Agnew, ""Quantitative texture analysis at the WAND2 and HIDRA diffractometers."" Journal of Applied Crystallography 55,  (October 2022).",,3.304,"22331.1,22334.1,22335.1","BL-7, HB-2B, HB-2C",,https://doi.org/10.1107/S1600576722009013
"S. Isbill, Z. Brubaker, A. E. Shields, J. Niedziela, ""Computational investigation of hydrogen-induced phonon changes in carbon fiber."" Computational Materials Science 216, 111884 (January 2023).",,3.3,,BL-16B,,https://doi.org/10.1016/j.commatsci.2022.111884
"Y. W. Wang, P. Makrygiannis, W. Wu, S. Tiji, F. Zhu, J. Zhang, G. Thomas, K. An, ""Deformation Mode and Strain Path Dependence of Martensite Phase Transformation in QP980 Steel."" Journal of Materials Engineering and Performance,  (November 2022).",,1.819,,BL-7,Industry,https://link.springer.com/article/10.1007/s11665-022-07557-y
"S. Machida, S. Nakano, ""Investigation of null-matrix alloy gaskets for a diamond-anvil-cell on high pressure neutron diffraction experiments."" High Pressure Research, 1-15 (November 2022).",,1.431,,BL-3,J-PARC,https://doi.org/10.1080/08957959.2022.2144289
"A. J. Ramirez-Cuesta, R. W. Smith, E. Mamontov, Y. Q. Cheng, ""ICE-MAN the Integrated Computational Environment for Modeling and Analysis for Neutrons at ORNL."" in EPJ Web of Conferences, 2022, QENS/WINS 2022 ñ 15th Edition of the QENS Series and 10th of the WINS Workshops.",,,,"BL-14B, BL-16B, BL-17, BL-2","ICE-MAN, VirtuES",https://doi.org/10.1051/epjconf/202227201013
"O. Holderer, H. Frielinghaus, P. A. Zolnierczuk, M. Ohl, M. Monkenbusch, ""Data reduction strategies at a time-of-flight NSE for a lamellar microemulsion."" in EPJ Web of Conferences, 2022, QENS/WINS 2022 ñ 15th Edition of the QENS Series and 10th of the WINS Workshops.",,,12001.1,BL-15,,https://doi.org/10.1051/epjconf/202227201007
"E. Mamontov, P. A. Zolnierczuk, ""Determining the relaxation time from a temperature-dependent scan of the neutron spin-echo signal amplitude."" in EPJ Web of Conferences, 2022, QENS/WINS 2022 ñ 15th Edition of the QENS Series and 10th of the WINS Workshops.",,,22764.1,"BL-15, BL-2",,https://doi.org/10.1051/epjconf/202227201014
"A. M. Philippe, C. Sill, S. Westermann, J. Allgaier, M. Staropoli, M. Monkenbusch, D. Gerstner, Y. Fleming, A. Wischnewski, I. Hoffmann, P. A. Zolnierczuk, C. Do, W. Pyckhout-Hintzen, ""Quantifying structure and dynamics of bound and bulk polymer in tailor-made rubber-silica nanocomposites."" Frontiers in Physics 10,  (November 2022).",,,"22968.1,22968.1","BL-15, BL-6",ILL,https://doi.org/10.3389/fphy.2022.1023234
"D. Zhang, Y. Chen, H. Vega, T. Feng, D. Yu, M. Everet, J. Neuefeind, K. An, R. Chen, J. Luo, ""Long- and short-range orders in 10-component compositionally complex ceramics."" Advanced Powder Materials,  (November 2022).",,,,"BL-1B, BL-7",,https://doi.org/10.1016/j.apmate.2022.100098
"G. Yumnam, ""MAGNETIC CHARGE CORRELATION AND QUANTUM DISORDERNESS IN HONEYCOMB SPIN ICE SYSTEM."" Ph.D. Dissertation, University of Missouri-Columbia (October 2022).",Prof. Deepak K. Singh,,"19397.1,22123.1,24338.1",BL-4A,,
"X. Wen, ""Imaging Normal Fluid Flow in HE II with Neutrons and Lasers ó A New Application of Neutron Beams for Studies of Turbulance."" Ph.D. Dissertation,  (October 2022).",,,,BL-4A,,
"J. Sumner, S. Qian, ""DENSS-Multiple: A Structure Reconstruction Method using Contrast Variation of Small-Angle Neutron Scattering Based on the DENSS Algorithm."" BBA Advances,  (November 2022).",,,,"BL-6, CG-3","Center, Rigaku X-Ray - Bio",https://doi.org/10.1016/j.bbadva.2022.100063
"Z. Lyu, ""Synergistic Fatigue Performance in High Entropy Alloys with Novel Precipitates and Metastable Phases."" Ph.D. Dissertation, The University of Tennessee, Knoxville (November 2022).",P.K. Liaw,,,BL-7,,
"R. Feng, K. An, P. K. Liaw, ""Fatigue Behavior and Mechanisms of High-Entropy Alloys."" High Entropy Alloys & Materials,  (October 2022).",,,,BL-7,,https://doi.org/10.1007/s44210-022-00008-2
"J. Robinson, ""Experimental and Numerical Investigations of the Thermomechanical Properties of Suspension Bridge Main Cables."" Ph.D. Dissertation, Columbia University (September 2022).",Adrian Br¸gger,,21727.1,BL-7,,https://doi.org/10.7916/gttk-rw29
"A. M. Samarakoon, D. A. Tennant, F. Ye, Q. Zhang, S. A. Grigera, ""Integration of machine learning with neutron scattering for the Hamiltonian tuning of spin ice under pressure."" Communications Materials 3, 84 (November 2022).",,,24421.1,BL-9,,https://doi.org/10.1038/s43246-022-00306-7
"Z. Gao, K. R. Gluesenkamp, A. Gehl, J. A. Pihl, D. Sulejmanovic, M. Zhang, T. LaClair, K. Nawaz, Y. Zhang, S. Qian, W. Yang, Z. Wu, ""Clean Condensing Gas Furnace."" Oak Ridge National Laboratory, ORNL/SPR-2022/2430 (March 2022).",,,27105.1,CG-1D,,https://info.ornl.gov/sites/publications/Files/Pub175937.pdf
"J. Moon, N. Gallego, C. I. Contescu, J. Keiser, Y. Zhang, E. Stringfellow, ""Understanding Flinak Salt Intrusion Behavior on Nuclear-Grade Graphite Via Neutron Tomography."" Oak Ridge National Laboratory, ORNL/TM-2022/2688 (September 2022).",,,,CG-1D,,https://info.ornl.gov/sites/publications/Files/Pub185848.pdf
"S. Bhattarai, ""Neutron Scattering Study of NI-V and Ce(Ni,Cu)Sn Close to the Onset of Magnetic Order."" Ph.D. Dissertation, Kent State University (December 2022).",Almut Schroeder,,,CG-2,NIST,https://etd.ohiolink.edu/apexprod/rws_etd/send_file/send?accession=kent1667922471030508&disposition=inline
"D. Ruth, R. Zielinski, C. Gu, C. Gu, M. Guc, M. Allada, et al. , ""Proton spin structure and generalized polarizabilities in the strong quantum chromodynamics regime."" Nature Physics,  (October 2022).",,20.034,,,Author,http://doi.org/10.1038/s41567-022-01781-y
"D. Sawada, Y. Nishiyama, R. Shah, V. T. Forsyth, E. Mossou, H. M. O'Neill, M. Wada, P. Langan, ""Untangling the threads of cellulose mercerization."" Nature Communications 13, 6189 (October 2022).",,14.919,,,"Author, Center, ILL",http://doi.org/10.1038/s41467-022-33812-w
"A. Kovalevsky, L. Coates, D. W. Kneller, R. Ghirlando, A. Aniana, N. T. Nashed, J. M. Louis, ""Unmasking the conformational stability and inhibitor binding to SARS-CoV-2 main protease active site mutants and miniprecursor."" Journal of Molecular Biology, 167876 (November 2022).",,5.469,,,"Author, Center",https://doi.org/10.1016/j.jmb.2022.167876
"B. R. Billingsley, M. Marshall, Z. Shu, H. B. Cao, T. Kong, ""Single crystal synthesis and magnetic properties of a Shastry-Sutherland lattice compound BaNd2ZnS5."" Physical Review Materials  6, 104403 (October 2022).",,3.989,,,Author,http://doi.org/10.1103/PhysRevMaterials.6.104403
"A. T. Savici, M. A. Gigg, O. Arnold, R. Tolchenov, R. E. Whitfield, S. E. Hahn, W. Zhou, I. A. Zaliznyak, ""Efficient data reduction for time-of-flight neutron scattering experiments on single crystals."" Journal of Applied Crystallography 55,  (December 2022).",,3.304,,,Author,https://doi.org/10.1107/S1600576722009645
"S. T. Nguyen, M. R. Schindler, R. P. Springer, J. Vanasse, ""Large- N c  and renormalization group constraints on parity-violating low-energy coefficients for three-derivative operators in pionless effective field theory."" Physical Review C 103, 054004 (May 2021).",,3.296,,,"Facility, Fundamental Physics",https://doi.org/10.1103/PhysRevC.103.054004
"R. Sen, K. Mondal, A. M. dos Santos, L. B. Escobar, P. Brandao, M. S. Reis, Z. Lin, ""A chiral alkali metal capped Ni4 cubane complex: Synthesis, structure, magnetic and catalytic bromination studies."" Journal of Molecular Structure,  (November 2022).",,3.196,,,"Author, CNMS",https://doi.org/10.1016/j.molstruc.2022.134412
"V. Cianciolo, Y. Efremenko, L. Fabris, S. K. Imam, S. I. Penttila, J. C. Ramsey, R. Santos Estrada, ""A novel silicon photomultiplier readout architecture for low-light applications."" Journal of Instrumentation 17, P09020 (September 2022).",,1.415,,,"Facility, Fundamental Physics",https://iopscience.iop.org/article/10.1088/1748-0221/17/09/P09020/pdf
"D. A. Loomis, V. Cianciolo, E. Leggett, ""Simulations of the nEDM@SNS light collection system efficiency."" Journal of Instrumentation 17, T04007 (April 2022).",,1.415,,,"Facility, Fundamental Physics",https://doi.org/10.1088/1748-0221/17/04/T04007
"M. Tikhonchev, ""Parameters of cascade mixing for FeCr alloy: Results of atomistic simulation."" Nuclear Instruments and Methods in Physics Research Section B 533, 40-49 (December 2022).",,1.377,,,Irradiation,https://doi.org/10.1016/j.nimb.2022.10.012
"W. T. Heller, ""More Tools for Visualization and Analysis of Small-Angle Neutron Scattering Data: Descriptions and Examples."" Oak Ridge National Laboratory, ORNL/TM-2022/2737 (October 2022).",,,,,Author,https://doi.org/10.2172/1895215
"X. Sun, ""Measurements of Beyond Standard Model Interactions with the UCNA and nEDM@SNS Experiments."" Ph.D. Dissertation, California Institute of Technology (November 2021).",Brad Filippone,,,,"Facility, Fundamental Physics",https://thesis.library.caltech.edu/14440/1/Thesis_XuanSun_December_2021_FINAL.pdf
"L. M. Garrison, J. R. Echols, N. Reid, J. Reed, X. Chen, ""Second group of irradiation  capsules: property data of irradiated  welded stainless steel 347 and  irradiated, welded, and hydrogen  charged Zircaloy-4 for SHINE."" Oak Ridge National Laboratory, ORNL/SPR-2022/2643 (September 2022).",,,,,Irradiation,https://info.ornl.gov/sites/publications/Files/Pub185809.pdf
"O. S. Munoz, ""Searching for new physics signatures in low-energy neutrino experiments."" Ph.D. Dissertation, CENTER FOR RESEARCH AND ADVANCED STUDIES OF THE NATIONAL  POLYTECHNIC INSTITUTE (August 2022).",Omar Gustavo Miranda Romagnoli,,,,Neutrino Physics,https://repositorio.cinvestav.mx/bitstream/handle/cinvestav/4146/SSIT0019184.pdf?sequence=1
"V. Pacheco, J. J. Marattukalam, D. Karlsson, L. Dessieux, K. Van Tran, P. Beran, I. Manke, N. D. Kardjilov, H. Markoetter, M. Sahlberg, R. Woracek, ""On the relationship between laser scan strategy, texture variations and hidden nucleation sites for failure in laser powder-bed fusion."" Materialia, 101614 (October 2022).",,,,,Author,https://doi.org/10.1016/j.mtla.2022.101614
"A. Saftah, ""Enhancements to Uniformity of Magnetic Fields at the SNS nEDM Experiment."" Ph.D. Dissertation, University of Kentucky (2022).",Christopher Crawford,,,,"Facility, Fundamental Physics",https://doi.org/10.13023/etd.2022.347
"Y. Zhang, L. Wang, W. Weber, ""Charged particles: Unique tools to study irradiation resistance of concentrated solid solution alloys."" Journal of Materials Science & Technology,  (October 2022).",,,,,Irradiation,https://doi.org/10.1016/j.jmst.2022.08.034
"G. D. Toby, C. N. Barbier, Y. W. Kang, S. W. Lee, J. Moss, A. H. Narayan, ""Design Enhancements for the SNS RFQ Coaxial Coupler."", 2022, International Linear Accelerator Conference (31st).",,,,,Target/Accelerator,https://doi.org/10.18429/JACoW-LINAC2022-TUPOPA29
"P. Dhakal, E. Daly, J. F. Fischer, N. A. Huque, M. P. Howell, J. Mammosser, ""Cavity Qualification and Production Update for SNS-PPU Cryomodules at Jefferson Lab."", 2022, International Linear Accelerator Conference (31st).",,,,,Target/Accelerator,https://doi.org/10.18429/JACoW-LINAC2022-TUPOJO18
,,,,,,
